name,path,slug,ev_ebitda,pe,pb,roce,roe,promoter_holding,sales_growth_3y,mkt_cap,cmp
ZENTEC,/company/ZENTEC/consolidated/,ZENTEC,52.76,,,,,,,16264.90,1801.40
NSDL,/company/544467/consolidated/,544467,27.38,,,,,,,16257.00,812.85
AEQUS,/company/AEQUS/consolidated/,AEQUS,111.08,,,,,,,16242.18,242.18
GPIL,/company/GPIL/consolidated/,GPIL,11.27,,,,,,,16202.84,240.67
PGEL,/company/PGEL/consolidated/,PGEL,35.61,,,,,,,16124.35,562.30
KFINTECH,/company/KFINTECH/consolidated/,KFINTECH,27.43,,,,,,,16058.09,928.90
EMAMILTD,/company/EMAMILTD/consolidated/,EMAMILTD,14.92,,,,,,,15978.08,366.05
SYNGENE,/company/SYNGENE/consolidated/,SYNGENE,17.70,,,,,,,15969.15,395.60
TATACHEM,/company/TATACHEM/consolidated/,TATACHEM,11.21,,,,,,,15925.05,625.10
DCMSHRIRAM,/company/DCMSHRIRAM/consolidated/,DCMSHRIRAM,10.39,,,,,,,15920.15,1020.90
HORIZONIND,/company/HORIZONIND/consolidated/,HORIZONIND,35.27,,,,,,,15893.44,55.13
APLLTD,/company/APLLTD/consolidated/,APLLTD,13.88,,,,,,,15886.23,808.20
NAVA,/company/NAVA/consolidated/,NAVA,8.59,,,,,,,15871.17,560.20
CLEANMAX,/company/CLEANMAX/consolidated/,CLEANMAX,17.66,,,,,,,15842.10,1347.90
ARE&M,/company/ARE&M/,ARE&M,9.69,,,,,,,15817.05,864.20
FINEORG,/company/FINEORG/consolidated/,FINEORG,22.81,,,,,,,15796.02,5152.00
KPITTECH,/company/KPITTECH/consolidated/,KPITTECH,12.11,,,,,,,15775.61,575.45
BHARATCOAL,/company/BHARATCOAL/,BHARATCOAL,35.10,,,,,,,15745.32,33.81
KANSAINER,/company/KANSAINER/consolidated/,KANSAINER,13.75,,,,,,,15706.48,194.20
ENGINERSIN,/company/ENGINERSIN/consolidated/,ENGINERSIN,13.42,,,,,,,15706.27,279.45
USHAMART,/company/USHAMART/consolidated/,USHAMART,18.15,,,,,,,15668.30,514.15
MAHSCOOTER,/company/MAHSCOOTER/,MAHSCOOTER,54.45,,,,,,,15545.14,13602.00
LTFOODS,/company/LTFOODS/consolidated/,LTFOODS,12.88,,,,,,,15445.81,444.80
FIVESTAR,/company/FIVESTAR/,FIVESTAR,9.64,,,,,,,15439.84,523.05
VIJAYA,/company/VIJAYA/consolidated/,VIJAYA,40.99,,,,,,,15379.62,1493.20
HONASA,/company/HONASA/consolidated/,HONASA,39.93,,,,,,,15357.37,471.05
ABREL,/company/ABREL/consolidated/,ABREL,-59.40,,,,,,,15342.52,1373.60
INGERRAND,/company/INGERRAND/,INGERRAND,39.02,,,,,,,15293.75,4844.70
SHADOWFAX,/company/SHADOWFAX/,SHADOWFAX,46.46,,,,,,,15228.59,259.55
JNPR,/company/JNPR/consolidated/,JNPR,37.80,,,,,,,15084.15,265.10
