nse_symbol,company_name,target_industry,screener_broad_sector,screener_sector,screener_industry,in_stockscans,in_screener
STYLAMIND,Stylam Industrie,Plywood Boards/Laminates,Consumer Discretionary,Consumer Durables,Plywood Boards/ Laminates,1,1
STYRENIX,Styrenix Perfor.,Petrochem - Polymers,Commodities,Chemicals,Specialty Chemicals,1,1
SUBROS,Subros,Auto Ancillaries - AC,Industrials,Capital Goods,Other Industrial Products,1,1
SUDARSCHEM,Sudarshan Chem.,Dyes & Pigments,Commodities,Chemicals,Dyes And Pigments,1,1
SUDEEPPHRM,Sudeep Pharma,Pharmaceuticals Bulk Drugs & Formulation,Healthcare,Healthcare,Pharmaceuticals,1,1
SUMEETINDS,Sumeet Industrie,Textiles - Manmade Fibre - PFY/PSF,Consumer Discretionary,Textiles,Other Textile Products,1,1
SUMICHEM,,Pesticides/Agrochemicals,,,,1,0
SUNDRMFAST,Sundram Fasten.,Auto Ancillaries - Engine Parts,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
SUNFLAG,Sunflag Iron,Steel Products,Industrials,Capital Goods,Iron & Steel Products,1,1
SUNTECK,Sunteck Realty,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
SUNTV,Sun TV Network,Entertainment & Media,Consumer Discretionary,"Media, Entertainment & Publication",TV Broadcasting & Software Production,1,1
SUPRAJIT,Suprajit Engg.,Auto Ancillaries - Diversified,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
SUPRIYA,Supriya Lifesci.,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
SURYAROSNI,Surya Roshni,Steel - Tubes/Pipes,Industrials,Capital Goods,Iron & Steel Products,1,1
SURYODAY,Suryoday Small,Banks - Small Finance,Financial Services,Financial Services,Other Bank,1,1
SUVEN,Suven Life Scie.,Pharma - Formulators,Healthcare,Healthcare,"Healthcare Research, Analytics & Technology",1,1
SWANCORP,Swan Corp,Diversified,Commodities,Chemicals,Petrochemicals,1,1
SWARAJENG,Swaraj Engines,Engines,Industrials,Capital Goods,"Compressors, Pumps & Diesel Engines",1,1
SWSOLAR,Sterling & Wils.,Solar EPC,Industrials,Construction,Civil Construction,1,1
SYMPHONY,Symphony,Consumer Electronics,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
SYNCOMF,Syncom Formul.,Pharma - Others,Healthcare,Healthcare,Pharmaceuticals,1,1
SYNGENE,Syngene Intl.,Pharma - API & CRAMS,Healthcare,Healthcare,"Healthcare Research, Analytics & Technology",1,1
TAJGVK,TajGVK Hotels,Hotels,Consumer Discretionary,Consumer Services,Hotels & Resorts,1,1
TALBROAUTO,Talbros Auto.,Auto Ancillaries - Axle shafts,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
TANLA,Tanla Platforms,IT - Software,Information Technology,Information Technology,Software Products,1,1
TARC,TARC Ltd,Realty - Regional,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
TARIL,T R I L,Capital Goods - Transformers,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
TARSONS,Tarsons Products,Medical Equipment,Healthcare,Healthcare,Medical Equipment & Supplies,1,1
TASTYBITE,Tasty Bite Eat.,FMCG - Contract Mfg,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,1,1
