nse_symbol,company_name,target_industry,screener_broad_sector,screener_sector,screener_industry,in_stockscans,in_screener
20MICRONS,20 Microns,Mining/Minerals,Commodities,Metals & Mining,Industrial Minerals,1,1
63MOONS,63 Moons Tech.,IT - Software,Information Technology,Information Technology,Computers - Software & Consulting,1,1
AADHARHFC,Aadhar Hsg. Fin.,Finance - Housing,Financial Services,Financial Services,Housing Finance Company,1,1
AARTIDRUGS,Aarti Drugs,Pharma - API,Healthcare,Healthcare,Pharmaceuticals,1,1
AARTIIND,Aarti Industries,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
AARTIPHARM,Aarti Pharma,Pharma - API,Healthcare,Healthcare,Pharmaceuticals,1,1
AAVAS,AAVAS Financiers,Finance - Housing,Financial Services,Financial Services,Housing Finance Company,1,1
ABDL,Allied Blenders,Alcoholic Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Breweries & Distilleries,1,1
ABFRL,Aditya Bir. Fas.,Textiles - Readymade Apparel,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
ABINFRA,A B Infrabuild,Construction - Civil/Turnkey,Industrials,Construction,Civil Construction,1,1
ABLBL,A B Lifestyle,Textiles - Readymade Apparel,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
ABREL,A B Real Estate,Realty - National,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ACE,Action Const.Eq.,Capital Goods - EPC/Cranes,Industrials,Capital Goods,Construction Vehicles,1,1
ACI,Archean Chemical,Chemicals - Inorganic,Commodities,Chemicals,Specialty Chemicals,1,1
ADFFOODS,ADF Foods,FMCG - Contract Mfg,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,1,1
ADSL,Allied Digital,IT - Software,Information Technology,Information Technology,IT Enabled Services,1,1
ADVAIT,Advait Energy,EPC,Industrials,Capital Goods,Other Electrical Equipment,1,1
ADVENTHTL,Advent Hotels,,Consumer Discretionary,Consumer Services,Hotels & Resorts,0,1
ADVENZYMES,Advanced Enzyme,Seeds/Tissue Culture/Bio Technology,Healthcare,Healthcare,Biotechnology,1,1
AEQUS,Aequs,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
AEROENTER,Aeroflex Enter.,Miscellaneous,Industrials,Capital Goods,Iron & Steel Products,1,1
AEROFLEX,Aeroflex,Stainless Steel,Industrials,Capital Goods,Iron & Steel Products,1,1
AETHER,Aether Industri.,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
AFCONS,Afcons Infrastr.,Construction - Civil/Turnkey,Industrials,Construction,Civil Construction,1,1
AFFLE,Affle 3i,Advertisement,Information Technology,Information Technology,IT Enabled Services,1,1
AGARIND,Agarwal Indl.,Petrochem - Others,Commodities,Chemicals,Petrochemicals,1,1
AGI,AGI Greenpac,Packaging - FMCG/Consumers,Industrials,Capital Goods,Packaging,1,1
AGIIL,AGI Infra,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
AHCL,Anlon Healthcare,Chemicals - Speciality,Healthcare,Healthcare,Pharmaceuticals,1,1
AJMERA,Ajmera Realty,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
AKUMS,Akums Drugs,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
ALGOQUANT,Algoquant Fin,Finance & Investments - Others,Financial Services,Financial Services,Other Financial Services,1,1
ALIVUS,Alivus Life,Pharmaceuticals Bulk Drugs & Formulation,Healthcare,Healthcare,Pharmaceuticals,1,1
ALKYLAMINE,Alkyl Amines,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
ALLCARGO,Allcargo Logist.,Logistics - Warehousing/Supply Chain,Services,Services,Logistics Solution Provider,1,1
ALOKINDS,Alok Industries,Textiles - Weaving,Consumer Discretionary,Textiles,Other Textile Products,1,1
AMAGI,Amagi Media Labs,Entertainment & Media,Information Technology,Information Technology,IT Enabled Services,1,1
AMANTA,Amanta Healthcar,Pharmaceuticals Bulk Drugs & Formulation,Healthcare,Healthcare,Pharmaceuticals,1,1
AMIRCHAND,A C J K Exports,Food - Processing - Rice,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Agricultural Products,1,1
ANANTRAJ,Anant Raj,Data Centre,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ANDHRSUGAR,Andhra Sugars,,Commodities,Chemicals,Commodity Chemicals,0,1
ANTELOPUS,Antelopus Selan,Oil Drilling & Exploration,Energy,"Oil, Gas & Consumable Fuels",Oil Exploration & Production,1,1
ANUP,The Anup Enginee,Capital Goods - Engineering Heavy,Industrials,Capital Goods,Industrial Products,1,1
ANURAS,Anupam Rasayan,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
APCOTEXIND,Apcotex Industri,Rubber Processing/Rubber Products,Industrials,Capital Goods,Rubber,1,1
APEX,Apex Frozen Food,FMCG - Shrimp,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Seafood,1,1
APLLTD,Alembic Pharma,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
APOLLO,Apollo Micro Sys,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
APOLLOPIPE,Apollo Pipes,Building Materials - Plastic Pipes,Industrials,Capital Goods,Plastic Products - Industrial,1,1
APTECHT,Aptech,Computer Education,Consumer Discretionary,Consumer Services,Education,1,1
APTUS,Aptus Value Hou.,Finance - Housing,Financial Services,Financial Services,Housing Finance Company,1,1
AQYLON,Aqylon Nexus,Miscellaneous,Consumer Discretionary,"Media, Entertainment & Publication",TV Broadcasting & Software Production,1,1
ARE&M,Amara Raja Ener.,Auto Ancillaries - Batteries,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
ARFIN,Arfin India,Aluminium Products,Commodities,Metals & Mining,Aluminium,1,1
ARIS,Arisinfra Solu.,Trading,Commodities,Construction Materials,Other Construction Materials,1,1
ARKADE,Arkade,Realty - Regional,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ARMANFIN,Arman Financial,Finance & Investments - Microfinance,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
ARROWGREEN,Arrow Greentech,Plastics - Plastic & Plastic Products,Industrials,Capital Goods,Packaging,1,1
ARSSBL,Anand Rathi Shar,Finance - Capital Markets - Brokers,Financial Services,Financial Services,Stockbroking & Allied,1,1
ARTEMISMED,Artemis Medicare,,Healthcare,Healthcare,Hospital,0,1
ARVIND,Arvind Ltd,Textiles,Consumer Discretionary,Textiles,Garments & Apparels,1,1
ARVINDFASN,Arvind Fashions.,Textiles - Readymade Apparel,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
ARVSMART,Arvind SmartSp.,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ASAHIINDIA,Asahi India Glas,Glass & Glass Products,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
ASHAPURMIN,Ashapura Minech.,Mining/Minerals,Commodities,Metals & Mining,Industrial Minerals,1,1
ASHIKA,Ashika Credit,Finance - Investment Bankers,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
ASHOKA,Ashoka Buildcon,Construction & Contracting,Industrials,Construction,Civil Construction,1,1
ASIANENE,Asian Energy,Oil Drilling & Exploration,Energy,"Oil, Gas & Consumable Fuels",Oil Equipment & Services,1,1
ASIANTILES,Asian Granito,Ceramics/Tiles/Sanitaryware,Consumer Discretionary,Consumer Durables,Ceramics,1,1
ASKAUTOLTD,ASK Automotive,Auto Ancillaries - 2 Wheelers,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
ASTEC,Astec Lifescienc,Pesticides/Agrochemicals,Commodities,Chemicals,Pesticides & Agrochemicals,1,1
ASTRAMICRO,Astra Microwave,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
ASTRAZEN,Astrazeneca Phar,Pharma - MNC bulk Drugs,Healthcare,Healthcare,Pharmaceuticals,1,1
ATALREAL,Atal Realtech,Construction - Civil/Turnkey,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
ATLANTAELE,Atlanta Electric,Electric Equipment - Transformers,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
ATUL,Atul,Dyes & Pigments,Commodities,Chemicals,Specialty Chemicals,1,1
ATULAUTO,Atul Auto,Auto - 2 & 3 Wheelers,Industrials,Capital Goods,Commercial Vehicles,1,1
AURIONPRO,Aurionpro Sol.,IT - Software,Information Technology,Information Technology,Computers - Software & Consulting,1,1
AVALON,Avalon Tech,Consumer Electronics - EMS,Industrials,Capital Goods,Other Electrical Equipment,1,1
AVANTEL,Avantel,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
AVANTIFEED,Avanti Feeds,FMCG - Shrimp,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Animal Feed,1,1
AVL,Aditya Vision,Retail - Electronics,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
AWFIS,AWFIS Space,Realty - CoWorking,Services,Services,Diversified Commercial Services,1,1
AWHCL,Antony Waste han,Recycling,Utilities,Utilities,Waste Management,1,1
AWL,AWL Agri Busine.,"Edible Oils, Agro Processing",Fast Moving Consumer Goods,Fast Moving Consumer Goods,Edible Oil,1,1
AXISCADES,AXISCADES Tech.,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
AYE,Aye Finance,NBFC - Others,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
AZAD,Azad Engineering,Aerospace & Defence - Equipments,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
BAJAJCON,Bajaj Consumer,FMCG - Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Care,1,1
BAJAJELEC,Bajaj Electrical,Domestic Appliances,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
BAJAJHCARE,Bajaj Healthcare,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
BAJAJHIND,Bajaj Hindusthan,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Sugar,1,1
BAJEL,Bajel Projects,Engineering - Turnkey Services,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
BALAJITELE,Balaji Telefilms,Entertainment & Media,Consumer Discretionary,"Media, Entertainment & Publication",Media & Entertainment,1,1
BALAMINES,Balaji Amines,Chemicals - Organic,Commodities,Chemicals,Specialty Chemicals,1,1
BALRAMCHIN,Balrampur Chini,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Sugar,1,1
BALUFORGE,Balu Forge,"Castings, Forgings & Fastners",Industrials,Capital Goods,Castings & Forgings,1,1
BANCOINDIA,Banco Products,Auto Ancillaries - Engine Parts,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
BANSALWIRE,Bansal Wire Inds,Steel - Wires,Industrials,Capital Goods,Iron & Steel Products,1,1
BASF,BASF India,Chemicals - Organic,Commodities,Chemicals,Specialty Chemicals,1,1
BATAINDIA,Bata India,Footwear,Consumer Discretionary,Consumer Durables,Footwear,1,1
BAYERCROP,Bayer Crop Sci.,Pesticides/Agrochemicals,Commodities,Chemicals,Pesticides & Agrochemicals,1,1
BBL,Bharat Bijlee,Capital Goods - Transformers,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
BBOX,Black Box,Data Centre,Information Technology,Information Technology,IT Enabled Services,1,1
BBTC,The Bombay Burmah,FMCG - Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,1,1
BCG,Brightcom Group,IT Enabled Services/Business Process Outsourcing,Information Technology,Information Technology,IT Enabled Services,1,1
BCLIND,BCL Industries,Diversified,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Breweries & Distilleries,1,1
BECTORFOOD,Mrs Bectors,FMCG - Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,1,1
BELRISE,Belrise Industri,Auto Ancillaries - 2 Wheelers,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
BEML,BEML Ltd,Aerospace & Defence - Equipments,Industrials,Capital Goods,Construction Vehicles,1,1
BEPL,Bhansali Engg.,Petrochem - Polymers,Commodities,Chemicals,Petrochemicals,1,1
BETA,Beta Drugs Ltd,Pharma - API,Healthcare,Healthcare,Pharmaceuticals,1,1
BFUTILITIE,BF Utilities,Power - Generation/Distribution,Services,Services,"Road AssetsToll, Annuity, Hybrid-Annuity",1,1
BHAGCHEM,Bhagiradha Chem.,Pesticides/Agrochemicals,Commodities,Chemicals,Pesticides & Agrochemicals,1,1
BHARATCOAL,Bharat Coking,Mining/Minerals,Energy,"Oil, Gas & Consumable Fuels",Coal,1,1
BHARATSE,Bharat Seats,Auto Ancillaries - Seats,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
BHARATWIRE,Bharat Wire,Steel - Wires,Industrials,Capital Goods,Iron & Steel Products,1,1
BIKAJI,Bikaji Foods,FMCG - Snacks,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,1,1
BIRLACORPN,Birla Corpn.,Cement,Commodities,Construction Materials,Cement & Cement Products,1,1
BLACKBUCK,Blackbuck,Logistics,Services,Services,Transport Related Services,1,1
BLISSGVS,Bliss GVS Pharma,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
BLS,BLS Internat.,Services - Others,Consumer Discretionary,Consumer Services,"Tour, Travel Related Services",1,1
BLSE,BLS E-Services,IT - Software,Information Technology,Information Technology,IT Enabled Services,1,1
BLUEDART,Blue Dart Expres,Logistics,Services,Services,Logistics Solution Provider,1,1
BLUEJET,Blue Jet Health,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
BLUESTONE,Bluestone Jewel,"Diamond, Gems & Jewellery",Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
BLUSPRING,Bluspring Enter.,Diversified,Services,Services,Diversified Commercial Services,1,1
BOMDYEING,Bombay Dyeing,Textiles - Processing/Texturising,Consumer Discretionary,Textiles,Other Textile Products,1,1
BORORENEW,Borosil Renew.,Glass & Glass Products,Industrials,Capital Goods,Glass - Industrial,1,1
BOROSCI,Borosil Scienti.,Glass & Glass Products,Industrials,Capital Goods,Glass - Industrial,1,1
BOSCH-HCIL,Bosch Home Comfort,Consumer Electronics,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
BRIGADE,Brigade Enterpr.,Realty - National,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
BSOFT,Birlasoft Ltd,IT - Software,Information Technology,Information Technology,Computers - Software & Consulting,1,1
BUILDPRO,Shankara Buildpro,Trading,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
CAMLINFINE,Camlin Fine,Chemicals - Others,Commodities,Chemicals,Specialty Chemicals,1,1
CAMPUS,Campus Activewe.,Footwear,Consumer Discretionary,Consumer Durables,Footwear,1,1
CAMS,Cams Services,Finance - Capital Markets - RTA,Financial Services,Financial Services,"Depositories, Clearing Houses and Other Intermediaries",1,1
CANFINHOME,Can Fin Homes,Finance - Housing,Financial Services,Financial Services,Housing Finance Company,1,1
CANHLIFE,Canara HSBC,Finance - Insurance,Financial Services,Financial Services,Life Insurance,1,1
CANTABIL,Cantabil Retail,Textiles - Readymade Apparel,Consumer Discretionary,Textiles,Garments & Apparels,1,1
CAPACITE,Capacit'e Infra.,Realty - Construction & Contracting,Industrials,Construction,Civil Construction,1,1
CAPILLARY,Capillary Tech.,IT - Software,Information Technology,Information Technology,Software Products,1,1
CAPLIPOINT,Caplin Point Lab,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
CARBORUNIV,Carborundum Uni.,Abrasives & Grinding Wheels,Industrials,Capital Goods,Abrasives & Bearings,1,1
CARERATING,CARE Ratings,Credit Rating Agencies,Financial Services,Financial Services,Ratings,1,1
CARRARO,Carraro India,Auto Ancillaries - Diversified,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
CARTRADE,Cartrade Tech,Platform - Others,Consumer Discretionary,Consumer Services,E-Retail/ E-Commerce,1,1
CARYSIL,Carysil,Building Material USA,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
CASTROLIND,Castrol India,Lubricants,Energy,"Oil, Gas & Consumable Fuels",Lubricants,1,1
CCAVENUE,AvenuesAI,IT - Software,Financial Services,Financial Services,Financial Technology (Fintech),1,1
CCL,CCL Products,FMCG - Coffee,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Tea & Coffee,1,1
CEATLTD,CEAT,Tyres & Tubes,Consumer Discretionary,Automobile and Auto Components,Tyres & Rubber Products,1,1
CEIGALL,Ceigall India,Construction - Civil/Turnkey,Industrials,Construction,Civil Construction,1,1
CEINSYS,Ceinsys Tech,Geospatial,Information Technology,Information Technology,Computers - Software & Consulting,1,1
CELLO,Cello World,Opalware,Consumer Discretionary,Consumer Durables,Houseware,1,1
CEMPRO,Cemindia Project,Infra - Construction & Contracting,Industrials,Construction,Civil Construction,1,1
CENTENKA,,Textiles - Manmade Fibre - PFY/PSF,,,,1,0
CENTUM,Centum Electron,EMS,Industrials,Capital Goods,Aerospace & Defense,1,1
CENTURYPLY,Century Plyboard,Plywood Boards/Laminates,Consumer Discretionary,Consumer Durables,Plywood Boards/ Laminates,1,1
CERA,Cera Sanitary.,Ceramics/Tiles/Sanitaryware,Consumer Discretionary,Consumer Durables,Sanitary Ware,1,1
CESC,CESC,Power - Generation/Distribution,Utilities,Power,Integrated Power Utilities,1,1
CEWATER,Concord Enviro,Pollution Control Equipment,Utilities,Utilities,Waste Management,1,1
CGCL,Capri Global,Finance & Investments - Gold Loan,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
CHALET,Chalet Hotels,Hotels,Consumer Discretionary,Consumer Services,Hotels & Resorts,1,1
CHAMBLFERT,Chambal Fert.,Fertilisers,Commodities,Chemicals,Fertilizers,1,1
CHEMCON,,Speciality Chemicals,,,,1,0
CHEMPLASTS,Chemplast Sanmar,Petrochem - Polymers,Commodities,Chemicals,Specialty Chemicals,1,1
CHENNPETRO,C P C L,Refineries,Energy,"Oil, Gas & Consumable Fuels",Refineries & Marketing,1,1
CHOICEIN,Choice Intl.,Finance - Capital Markets - Brokers,Financial Services,Financial Services,Holding Company,1,1
CIEINDIA,CIE Automotive,"Castings, Forgings & Fastners",Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
CLEAN,Clean Science,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
CLEANMAX,Clean Max Enviro,Power Generation & Supply,Utilities,Power,Power Generation,1,1
CLSEL,Chamanlal Setia,FMCG - Rice,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Agricultural Products,1,1
CMPDI,Central Mine Pla,Miscellaneous,Industrials,Construction,Civil Construction,1,1
CMRGREEN,CMR Green Tech.,Miscellaneous,Industrials,Capital Goods,"Aluminium, Copper & Zinc Products",1,1
CMSINFO,CMS Info Systems,Services - Others,Services,Services,Diversified Commercial Services,1,1
COCKERILL,John Cockerill,Capital Goods - Engineering Heavy,Industrials,Capital Goods,Industrial Products,1,1
COFFEEDAY,Coffee Day Enter,Quick Service Restaurant - QSR,Consumer Discretionary,Consumer Services,Restaurants,1,1
COHANCE,Cohance Life,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
COMSYN,Commerl. Synbags,Packaging - Polysacks,Industrials,Capital Goods,Packaging,1,1
CONCORDBIO,Concord Biotech,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
CONFIPET,Confidence Petro,LPG Bottling,Energy,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier,1,1
CONTROLPR,Control Print,Computer - Hardware,Information Technology,Information Technology,Computers Hardware & Equipments,1,1
CORDELIA,Waterways Leisur,,Consumer Discretionary,Consumer Services,"Tour, Travel Related Services",0,1
CORONA,Corona Remedies,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
COSMOFIRST,Cosmo First,Packaging - BOPP,Industrials,Capital Goods,Packaging,1,1
CRAFTSMAN,Craftsman Auto,Auto & Auto Ancl - CV,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
CRAMC,Canara Robeco,Finance - AMC,Financial Services,Financial Services,Asset Management Company,1,1
CREDITACC,CreditAcc. Gram.,Finance & Investments - Microfinance,Financial Services,Financial Services,Microfinance Institutions,1,1
CRIZAC,Crizac,Platform - Education,Consumer Discretionary,Consumer Services,Internet & Catalogue Retail,1,1
CROMPTON,Crompton Gr. Con,Consumer Electronics,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
CSBBANK,CSB Bank,Finance & Investments - Gold Loan,Financial Services,Financial Services,Private Sector Bank,1,1
CUB,City Union Bank,Banks - Private,Financial Services,Financial Services,Private Sector Bank,1,1
CUPID,,Contraceptives/Protectives,,,,1,0
CYIENT,Cyient,IT - ER&D,Information Technology,Information Technology,IT Enabled Services,1,1
CYIENTDLM,Cyient DLM,Consumer Electronics - EMS,Industrials,Capital Goods,Aerospace & Defense,1,1
DALMIASUG,Dalmia Bharat,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Sugar,0,1
DAMCAPITAL,Dam Capital Advi,Finance - Investment Bankers,Financial Services,Financial Services,Stockbroking & Allied,1,1
DATAMATICS,Datamatics Glob.,IT - Software,Information Technology,Information Technology,IT Enabled Services,1,1
DAVANGERE,Davangere Sugar,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,1,1
DBL,Dilip Buildcon,EPC,Industrials,Construction,Civil Construction,1,1
DCAL,Dishman Carbogen,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
DCBBANK,DCB Bank,Banks - Private,Financial Services,Financial Services,Private Sector Bank,1,1
DCMSHRIRAM,DCM Shriram,Sugar,Diversified,Diversified,Diversified,1,1
DCW,DCW,Petrochem - Others,Commodities,Chemicals,Petrochemicals,1,1
DCXINDIA,DCX Systems,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
DDEVPLSTIK,DDev Plastiks,Plastics - Plastic & Plastic Products,Commodities,Chemicals,Specialty Chemicals,1,1
DECNGOLD,Dec.Gold Mines,Mining/Minerals,Commodities,Metals & Mining,Precious Metals,1,1
DEEPAKFERT,Deepak Fertilis.,Fertilisers,Commodities,Chemicals,Commodity Chemicals,1,1
DEEPAKNTR,Deepak Nitrite,Chemicals - Inorganic,Commodities,Chemicals,Specialty Chemicals,1,1
DEEPINDS,Deep Industries,Oil Drilling & Exploration,Energy,"Oil, Gas & Consumable Fuels",Oil Equipment & Services,1,1
DELTACORP,Delta Corp,Miscellaneous,Consumer Discretionary,Consumer Services,Amusement Parks/ Other Recreation,1,1
DEN,Den Networks,Entertainment & Media,Consumer Discretionary,"Media, Entertainment & Publication",TV Broadcasting & Software Production,1,1
DENTA,Denta Water,Construction - Civil/Turnkey,Utilities,Utilities,Water Supply & Management,1,1
DEVYANI,Devyani Intl.,Quick Service Restaurant - QSR,Consumer Discretionary,Consumer Services,Restaurants,1,1
DHANBANK,Dhanlaxmi Bank,Banks - Private,Financial Services,Financial Services,Private Sector Bank,1,1
DHANUKA,Dhanuka Agritech,Pesticides/Agrochemicals,Commodities,Chemicals,Pesticides & Agrochemicals,1,1
DIACABS,Diamond Power,Cables - Power,Industrials,Capital Goods,Other Electrical Equipment,1,1
DIAMONDYD,Prataap Snacks,FMCG - Snacks,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,1,1
DIFFNKG,Diffusion Eng,Welding Equipments,Industrials,Capital Goods,Other Industrial Products,1,1
DIGITIDE,Digitide Solutio,,Information Technology,Information Technology,IT Enabled Services,0,1
DIVGIITTS,Divgi Torq,Auto Ancillaries - Transmission,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
DJML,DJ Mediaprint,Printing/Publishing/Stationery,Services,Services,Logistics Solution Provider,1,1
DLINKINDIA,D-Link India,IT Networking Equipment,Information Technology,Information Technology,Computers Hardware & Equipments,1,1
DOLLAR,Dollar Industrie,Textiles - Hosiery/Knitwear,Consumer Discretionary,Textiles,Garments & Apparels,1,1
DOMS,DOMS Industries,Printing & Stationery,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Stationary,1,1
DREDGECORP,Dredging Corpn.,Shipping,Services,Services,Dredging,1,1
DSSL,Dynacons Sys.,IT - Software,Information Technology,Information Technology,IT Enabled Services,1,1
DYCL,Dynamic Cables,Cables - Power,Industrials,Capital Goods,Cables - Electricals,1,1
DYNAMATECH,Dynamatic Tech.,Aerospace & Defence - Equipments,Industrials,Capital Goods,Industrial Products,1,1
E2E,E2E Networks,Data Centre,Information Technology,Information Technology,IT Enabled Services,1,1
EASEMYTRIP,Easy Trip Plann.,E-Commerce - Platform - Travel,Consumer Discretionary,Consumer Services,"Tour, Travel Related Services",1,1
EBGNG,GNG Electronics,New age - Platform - E-Retail,Information Technology,Information Technology,Computers Hardware & Equipments,1,1
ECLERX,eClerx Services,IT Enabled Services,Services,Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1,1
EDELWEISS,Edelweiss.Fin.,Finance & Investments - Wholesale NBFC,Financial Services,Financial Services,Holding Company,1,1
EFCIL,EFC (I),Realty - CoWorking,Services,Services,Diversified Commercial Services,1,1
EIDPARRY,EID Parry,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Food Products,1,1
EIEL,Enviro Infra,Engineering - Turnkey Services,Utilities,Utilities,Water Supply & Management,1,1
EIHOTEL,EIH,Hotels,Consumer Discretionary,Consumer Services,Hotels & Resorts,1,1
EIMCOELECO,Eimco Elecon(I),Capital Goods - Engineering Heavy,Industrials,Capital Goods,Industrial Products,1,1
EKC,Everest Kanto,Cylinder,Industrials,Capital Goods,Industrial Products,1,1
ELECON,Elecon Engg.Co,Capital Goods - Mining Equipement,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
ELECTCAST,Electrost.Cast.,DI Pipes/Saw Pipes,Industrials,Capital Goods,Iron & Steel Products,1,1
ELECTHERM,Electrotherm(I),Steel Products,Industrials,Capital Goods,Iron & Steel Products,1,1
ELGIEQUIP,Elgi Equipments,Compressors,Industrials,Capital Goods,"Compressors, Pumps & Diesel Engines",1,1
ELITECON,Elitecon Inter.,Chewing Tobacco/Pan Masala,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,1,1
ELLEN,Ellen.Indl.Gas,Industrial Gas,Commodities,Chemicals,Industrial Gases,1,1
EMAMILTD,Emami,FMCG - Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Care,1,1
EMBDL,Embassy Develop,Miscellaneous,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
EMIL,Electronics Mart,Retail - Electronics,Consumer Discretionary,Consumer Services,Diversified Retail,1,1
EMKAY,Emk.Global Fin.,Finance - Capital Markets - Brokers,Financial Services,Financial Services,Stockbroking & Allied,1,1
EMMVEE,Emmvee Photovol.,Electric Equipment - General,Industrials,Capital Goods,Other Electrical Equipment,1,1
EMSLIMITED,EMS,Infra - Engineering - General,Utilities,Utilities,Waste Management,1,1
ENGINERSIN,Engineers India,Infra - Engineering - General,Industrials,Construction,Civil Construction,1,1
ENTERO,Entero Healthcar,Pharmacy Distribution,Consumer Discretionary,Consumer Services,Pharmacy Retail,1,1
EPACK,Epack Durable,Consumer Electronics - EMS,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
EPACKPEB,EPack PrefabTech,Pre-Engineering Buildings,Industrials,Capital Goods,Industrial Products,1,1
